Date,US_Inflation_Rate
01/01/2008,87.093
01/02/2008,87.178
01/03/2008,87.349
01/04/2008,87.4
01/05/2008,87.559
01/06/2008,87.76
01/07/2008,87.918
01/08/2008,88.026
01/09/2008,88.116
01/10/2008,87.991
01/11/2008,87.952
01/12/2008,87.909
01/01/2009,87.882
01/02/2009,87.952
01/03/2009,88.015
01/04/2009,88.211
01/05/2009,88.279
01/06/2009,88.392
01/07/2009,88.468
01/08/2009,88.599
01/09/2009,88.755
01/10/2009,89.082
01/11/2009,89.16
01/12/2009,89.236
01/01/2010,89.368
01/02/2010,89.446
01/03/2010,89.579
01/04/2010,89.625
01/05/2010,89.724
01/06/2010,89.767
01/07/2010,89.769
01/08/2010,89.855
01/09/2010,89.906
01/10/2010,90.043
01/11/2010,90.16
01/12/2010,90.179
01/01/2011,90.372
01/02/2011,90.53
01/03/2011,90.667
01/04/2011,90.875
01/05/2011,91.091
01/06/2011,91.191
01/07/2011,91.326
01/08/2011,91.508
01/09/2011,91.57
01/10/2011,91.614
01/11/2011,91.808
01/12/2011,91.96
01/01/2012,92.235
01/02/2012,92.364
01/03/2012,92.521
01/04/2012,92.661
01/05/2012,92.755
01/06/2012,92.85
01/07/2012,92.946
01/08/2012,93.005
01/09/2012,93.119
01/10/2012,93.345
01/11/2012,93.445
01/12/2012,93.514
01/01/2013,93.703
01/02/2013,93.805
01/03/2013,93.891
01/04/2013,93.937
01/05/2013,94.047
01/06/2013,94.209
01/07/2013,94.329
01/08/2013,94.431
01/09/2013,94.543
01/10/2013,94.703
01/11/2013,94.86
01/12/2013,94.961
01/01/2014,95.064
01/02/2014,95.109
01/03/2014,95.25
01/04/2014,95.413
01/05/2014,95.574
01/06/2014,95.682
01/07/2014,95.848
01/08/2014,95.885
01/09/2014,96.013
01/10/2014,96.096
01/11/2014,96.181
01/12/2014,96.249
01/01/2015,96.214
01/02/2015,96.324
01/03/2015,96.47
01/04/2015,96.648
01/05/2015,96.766
01/06/2015,96.882
01/07/2015,96.978
01/08/2015,97.056
01/09/2015,97.196
01/10/2015,97.228
01/11/2015,97.332
01/12/2015,97.396
01/01/2016,97.567
01/02/2016,97.736
01/03/2016,97.876
01/04/2016,98.117
01/05/2016,98.284
01/06/2016,98.386
01/07/2016,98.529
01/08/2016,98.703
01/09/2016,98.834
01/10/2016,98.961
01/11/2016,99.005
01/12/2016,99.12
01/01/2017,99.385
01/02/2017,99.561
01/03/2017,99.519
01/04/2017,99.723
01/05/2017,99.803
01/06/2017,99.937
01/07/2017,100.01
01/08/2017,100.118
01/09/2017,100.24
01/10/2017,100.486
01/11/2017,100.535
01/12/2017,100.683
01/01/2018,101.007
01/02/2018,101.198
01/03/2018,101.419
01/04/2018,101.602
01/05/2018,101.78
01/06/2018,101.872
01/07/2018,102.006
01/08/2018,102.016
01/09/2018,102.205
01/10/2018,102.366
01/11/2018,102.556
01/12/2018,102.735
01/01/2019,102.87
01/02/2019,102.963
01/03/2019,103.058
01/04/2019,103.265
01/05/2019,103.371
01/06/2019,103.56
01/07/2019,103.678
01/08/2019,103.797
01/09/2019,103.873
01/10/2019,104.028
01/11/2019,104.092
01/12/2019,104.322
01/01/2020,104.488
01/02/2020,104.684
01/03/2020,104.596
01/04/2020,104.256
01/05/2020,104.37
01/06/2020,104.531
01/07/2020,104.9
01/08/2020,105.235
01/09/2020,105.395
01/10/2020,105.47
01/11/2020,105.578
01/12/2020,105.904
01/01/2021,106.244
01/02/2021,106.477
01/03/2021,106.898
01/04/2021,107.549
01/05/2021,108.103
01/06/2021,108.595
01/07/2021,109.062
01/08/2021,109.436
01/09/2021,109.657
01/10/2021,110.184
01/11/2021,110.792
01/12/2021,111.458
01/01/2022,111.988
01/02/2022,112.492
01/03/2022,112.916
01/04/2022,113.301
01/05/2022,113.709
01/06/2022,114.376
01/07/2022,114.638
01/08/2022,115.298
01/09/2022,115.805
01/10/2022,116.2
01/11/2022,116.554
01/12/2022,116.977
01/01/2023,117.526
01/02/2023,117.963
01/03/2023,118.304
01/04/2023,118.715
01/05/2023,119.063
01/06/2023,119.37
01/07/2023,119.536
01/08/2023,119.658
01/09/2023,120.04
01/10/2023,120.2
01/11/2023,120.309
01/12/2023,120.528
01/01/2024,121.128
01/02/2024,121.418
01/03/2024,121.829
01/04/2024,122.14
01/05/2024,122.239
01/06/2024,122.51
01/07/2024,122.722
01/08/2024,122.926
01/09/2024,123.234
01/10/2024,123.595
01/11/2024,123.716
01/12/2024,123.98
