Date,US_GDP
01/01/2008,16843.003
01/04/2008,16943.291
01/07/2008,16854.295
01/10/2008,16485.35
01/01/2009,16298.262
01/04/2009,16269.145
01/07/2009,16326.281
01/10/2009,16502.754
01/01/2010,16582.71
01/04/2010,16743.162
01/07/2010,16872.266
01/10/2010,16960.864
01/01/2011,16920.632
01/04/2011,17035.114
01/07/2011,17031.313
01/10/2011,17222.583
01/01/2012,17367.01
01/04/2012,17444.525
01/07/2012,17469.65
01/10/2012,17489.852
01/01/2013,17662.4
01/04/2013,17709.671
01/07/2013,17860.45
01/10/2013,18016.147
01/01/2014,17953.974
01/04/2014,18185.911
01/07/2014,18406.941
01/10/2014,18500.031
01/01/2015,18666.621
01/04/2015,18782.243
01/07/2015,18857.418
01/10/2015,18892.206
01/01/2016,19001.69
01/04/2016,19062.709
01/07/2016,19197.938
01/10/2016,19304.352
01/01/2017,19398.343
01/04/2017,19506.949
01/07/2017,19660.766
01/10/2017,19882.352
01/01/2018,20044.077
01/04/2018,20150.476
01/07/2018,20276.154
01/10/2018,20304.874
01/01/2019,20431.641
01/04/2019,20602.275
01/07/2019,20843.322
01/10/2019,20985.448
01/01/2020,20693.238
01/04/2020,19056.617
01/07/2020,20548.793
01/10/2020,20771.691
01/01/2021,21058.379
01/04/2021,21389.005
01/07/2021,21571.421
01/10/2021,21960.388
01/01/2022,21903.85
01/04/2022,21919.222
01/07/2022,22066.784
01/10/2022,22249.459
01/01/2023,22403.435
01/04/2023,22539.418
01/07/2023,22780.933
01/10/2023,22960.6
01/01/2024,23053.545
01/04/2024,23223.906
01/07/2024,23400.294
01/10/2024,23542.349
