feature,importance
Buy_lag1,0.3743740637001939
Buy_roll_mean_21,0.2316404484370444
Buy_lag5,0.1372366547514599
Buy_roll_mean_5,0.1180849868641457
Buy_lag21,0.09020748728638615
Buy_lag10,0.046656722661580594
Inflation_Spread,0.0006611949581784488
Buy_roll_std_21,0.0003733584505835846
Cocoa_ret,0.00023454089006655576
Buy_roll_std_5,0.00022935546231817107
Rate_Spread,0.00015675299134149925
Imports_chg,7.862098795019929e-05
NetForeignAssets_chg,2.7007238608859925e-05
NIR_chg,1.488594809078839e-05
Dow,1.2754461850827236e-05
Month,8.37823351078774e-06
Gold_ret,1.4866467557749002e-06
Exports_chg,7.388061160262489e-07
BrentOil_ret,5.61223818058634e-07
Quarter,0.0
